id,text,tokenized,spam_label,spam_label_vn,sentiment_label,sentiment_label_vn
24,Click link này nhận voucher 20%: http://bit.ly/abcxyz ❤ #khuyenmai #giveaway,Click link này nhận voucher 20 % : http://bit.ly/abcxyz ❤ #_khuyenmai # giveaway,spam,Spam,negative,Tiêu cực
25,"Mình thấy video này dịch vụ kém, chắc sẽ không dùng lại đâu. 👎 :v","Mình thấy video này dịch_vụ kém , chắc sẽ không dùng lại đâu . 👎 : v",không spam,Không spam,negative,Tiêu cực
26,"Bán acc game giá rẻ, ai cần cmt số điện thoại ❤","Bán acc game giá rẻ , ai cần cmt số điện_thoại ❤",spam,Spam,neutral,Trung lập
27,"Thật sự bài viết này rất hay, liên quan đến quán cà phê mới.","Thật_sự bài viết này rất hay , liên_quan đến quán cà_phê mới .",không spam,Không spam,positive,Tích cực
28,"Nếu bạn đang phân vân thì sản phẩm này thất vọng, chắc sẽ không dùng lại đâu.","Nếu bạn đang phân_vân thì sản_phẩm này thất_vọng , chắc sẽ không dùng lại đâu .",không spam,Không spam,neutral,Trung lập
29,"Ai cần tăng like, tăng follow thì ib mình, giá rẻ bất ngờ 😀","Ai cần tăng like , tăng follow thì ib mình , giá rẻ bất_ngờ 😀",spam,Spam,neutral,Trung lập
30,"Nếu bạn đang phân vân thì fanpage này lừa đảo, chắc sẽ không dùng lại đâu. 😡 :v","Nếu bạn đang phân_vân thì fanpage này lừa_đảo , chắc sẽ không dùng lại đâu . 😡 : v",spam,Spam,neutral,Trung lập
31,"Theo mình bài viết này không recommend, chắc sẽ không dùng lại đâu.","Theo mình bài viết này không recommend , chắc sẽ không dùng lại đâu .",không spam,Không spam,negative,Tiêu cực
32,"Không biết mọi người sao chứ mình video này hài lòng, liên quan đến ứng dụng học từ vựng. 😂","Không biết mọi người sao chứ mình video này hài_lòng , liên_quan đến ứng_dụng học từ vựng . 😂",không spam,Không spam,positive,Tích cực
33,"Nếu bạn đang phân vân thì bài viết này không có gì đặc biệt, mọi người tự trải nghiệm nhé.","Nếu bạn đang phân_vân thì bài viết này không có gì đặc_biệt , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
34,"Theo mình nội dung bài giảng đáng tiền, liên quan đến sản phẩm chăm sóc da. 🥰 :v","Theo mình nội_dung bài giảng đáng tiền , liên_quan đến sản_phẩm chăm_sóc da . 🥰 : v",không spam,Không spam,positive,Tích cực
35,"Nếu bạn đang phân vân thì tính năng mới ok, mọi người tự trải nghiệm nhé. :v","Nếu bạn đang phân_vân thì tính_năng mới ok , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,neutral,Trung lập
36,"Cá nhân mình thì giảng viên rất hữu ích, liên quan đến app đọc báo. 👎","Cá_nhân mình thì giảng_viên rất hữu_ích , liên_quan đến app đọc báo . 👎",không spam,Không spam,positive,Tích cực
37,Click link này nhận voucher 30%: http://tinyurl.com/abcd 😀 #khuyenmai #giveaway,Click link này nhận voucher 30 % : http://tinyurl.com/abcd 😀 #_khuyenmai # giveaway,spam,Spam,negative,Tiêu cực
38,"Mình thấy fanpage này bình thường, mọi người tự trải nghiệm nhé.","Mình thấy fanpage này bình_thường , mọi người tự trải_nghiệm nhé .",không spam,Không spam,positive,Tích cực
39,"Cá nhân mình thì dịch vụ bên bạn cũng được, mọi người tự trải nghiệm nhé.","Cá_nhân mình thì dịch_vụ bên bạn cũng được , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
40,"Đọc xong chỉ biết nói là giảng viên tuyệt vời, liên quan đến cửa hàng đồ công nghệ. :v","Đọc xong chỉ biết nói là giảng_viên tuyệt_vời , liên_quan đến cửa_hàng đồ công_nghệ . : v",không spam,Không spam,positive,Tích cực
41,"Ai quan tâm thì dịch vụ bên bạn hài lòng, liên quan đến ứng dụng học từ vựng.","Ai quan_tâm thì dịch_vụ bên bạn hài_lòng , liên_quan đến ứng_dụng học từ vựng .",không spam,Không spam,neutral,Trung lập
42,"Thật sự app này tuyệt vời, liên quan đến page công nghệ. 😅","Thật_sự app này tuyệt_vời , liên_quan đến page công_nghệ . 😅",không spam,Không spam,positive,Tích cực
43,"Không biết mọi người sao chứ mình bài viết này không có gì đặc biệt, mọi người tự trải nghiệm nhé. :v","Không biết mọi người sao chứ mình bài viết này không có gì đặc_biệt , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,negative,Tiêu cực
44,"Đọc xong chỉ biết nói là fanpage này ưng ý lắm, liên quan đến cửa hàng đồ công nghệ.","Đọc xong chỉ biết nói là fanpage này ưng_ý lắm , liên_quan đến cửa_hàng đồ công_nghệ .",không spam,Không spam,neutral,Trung lập
45,"Nói thật là bài viết này hỗ trợ chán, chắc sẽ không dùng lại đâu. ❤","Nói thật là bài viết này hỗ_trợ chán , chắc sẽ không dùng lại đâu . ❤",không spam,Không spam,negative,Tiêu cực
46,"Đọc xong chỉ biết nói là video này đáng tiền, liên quan đến quán ăn vặt.","Đọc xong chỉ biết nói là video này đáng tiền , liên_quan đến quán ăn vặt .",không spam,Không spam,positive,Tích cực
47,"Nói thật là giảng viên rất hữu ích, liên quan đến kênh YouTube dạy lập trình. 🥰 :v","Nói thật là giảng_viên rất hữu_ích , liên_quan đến kênh YouTube_dạy lập_trình . 🥰 : v",không spam,Không spam,positive,Tích cực
48,"Cá nhân mình thì khóa học online quá tệ, chắc sẽ không dùng lại đâu. ❤","Cá_nhân mình thì khóa học online quá tệ , chắc sẽ không dùng lại đâu . ❤",không spam,Không spam,negative,Tiêu cực
49,"Không biết mọi người sao chứ mình tính năng mới hỗ trợ chán, chắc sẽ không dùng lại đâu. 😍","Không biết mọi người sao chứ mình tính_năng mới hỗ_trợ chán , chắc sẽ không dùng lại đâu . 😍",không spam,Không spam,neutral,Trung lập
50,"Theo mình page này đáng tiền, liên quan đến sản phẩm chăm sóc da.","Theo mình page này đáng tiền , liên_quan đến sản_phẩm chăm_sóc da .",không spam,Không spam,positive,Tích cực
51,"Thật sự dịch vụ bên bạn dịch vụ kém, chắc sẽ không dùng lại đâu. 😍","Thật_sự dịch_vụ bên bạn dịch_vụ kém , chắc sẽ không dùng lại đâu . 😍",không spam,Không spam,neutral,Trung lập
52,"Thật sự nội dung bài giảng tạm ổn, mọi người tự trải nghiệm nhé. 👍 :v","Thật_sự nội_dung bài giảng tạm ổn , mọi người tự trải_nghiệm nhé . 👍 : v",không spam,Không spam,positive,Tích cực
53,"Theo mình app này ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé. ❤ :v","Theo mình app này ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé . ❤ : v",không spam,Không spam,neutral,Trung lập
54,"Ai quan tâm thì giảng viên không recommend, chắc sẽ không dùng lại đâu.","Ai quan_tâm thì giảng_viên không recommend , chắc sẽ không dùng lại đâu .",không spam,Không spam,neutral,Trung lập
55,"Nếu bạn đang phân vân thì app này ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé. 😂","Nếu bạn đang phân_vân thì app này ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé . 😂",không spam,Không spam,neutral,Trung lập
56,"Nếu bạn đang phân vân thì tính năng mới quá tuyệt, liên quan đến quán ăn vặt. 👎","Nếu bạn đang phân_vân thì tính_năng mới quá tuyệt , liên_quan đến quán ăn vặt . 👎",không spam,Không spam,neutral,Trung lập
57,"Theo mình sản phẩm này tạm ổn, mọi người tự trải nghiệm nhé. 😂 :v","Theo mình sản_phẩm này tạm ổn , mọi người tự trải_nghiệm nhé . 😂 : v",không spam,Không spam,positive,Tích cực
58,"Thật sự app này không recommend, chắc sẽ không dùng lại đâu.","Thật_sự app này không recommend , chắc sẽ không dùng lại đâu .",không spam,Không spam,negative,Tiêu cực
59,"Ai quan tâm thì bài viết này phí tiền, chắc sẽ không dùng lại đâu. 👍","Ai quan_tâm thì bài viết này phí tiền , chắc sẽ không dùng lại đâu . 👍",không spam,Không spam,neutral,Trung lập
60,"Ai quan tâm thì dịch vụ bên bạn đọc cho biết, mọi người tự trải nghiệm nhé. 😀","Ai quan_tâm thì dịch_vụ bên bạn_đọc cho biết , mọi người tự trải_nghiệm nhé . 😀",không spam,Không spam,neutral,Trung lập
61,"Ai quan tâm thì sản phẩm này đáng tiền, liên quan đến quán cà phê mới. 👍","Ai quan_tâm thì sản_phẩm này đáng tiền , liên_quan đến quán cà_phê mới . 👍",không spam,Không spam,positive,Tích cực
62,"Ai quan tâm thì sản phẩm này đỉnh cao, liên quan đến khóa học NLP. 😡","Ai quan_tâm thì sản_phẩm này đỉnh_cao , liên_quan đến khóa học NLP. 😡",không spam,Không spam,positive,Tích cực
63,"Đọc xong chỉ biết nói là page này rất hay, liên quan đến khóa học Python. ❤","Đọc xong chỉ biết nói là page này rất hay , liên_quan đến khóa học Python . ❤",không spam,Không spam,positive,Tích cực
64,"Mình thấy bài viết này không ý kiến, mọi người tự trải nghiệm nhé. 😀 :v","Mình thấy bài viết này không ý_kiến , mọi người tự trải_nghiệm nhé . 😀 : v",không spam,Không spam,neutral,Trung lập
65,"Thật sự tính năng mới chán thật, chắc sẽ không dùng lại đâu. 😡","Thật_sự tính_năng mới chán thật , chắc sẽ không dùng lại đâu . 😡",không spam,Không spam,negative,Tiêu cực
66,"Cá nhân mình thì page này không ý kiến, mọi người tự trải nghiệm nhé. 🥰","Cá_nhân mình thì page này không ý_kiến , mọi người tự trải_nghiệm nhé . 🥰",không spam,Không spam,neutral,Trung lập
67,"Theo mình khóa học online tạm ổn, mọi người tự trải nghiệm nhé. :v","Theo mình khóa học online tạm ổn , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,neutral,Trung lập
68,"Theo mình khóa học online không đáng, chắc sẽ không dùng lại đâu. 👍","Theo mình khóa học online không đáng , chắc sẽ không dùng lại đâu . 👍",không spam,Không spam,negative,Tiêu cực
69,"Ai quan tâm thì video này ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé.","Ai quan_tâm thì video này ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
70,"Nói thật là khóa học online ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé.","Nói thật là khóa học online ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
71,"Theo mình page này không ý kiến, mọi người tự trải nghiệm nhé. 👎","Theo mình page này không ý_kiến , mọi người tự trải_nghiệm nhé . 👎",không spam,Không spam,neutral,Trung lập
72,Share bài viết này vào 5 group để nhận quà miễn phí #khuyenmai #giveaway,Share bài viết này vào 5 group để nhận quà miễn_phí #_khuyenmai # giveaway,spam,Spam,neutral,Trung lập
73,"Nói thật là update mới bình thường, mọi người tự trải nghiệm nhé. 😍 :v","Nói thật là update mới bình_thường , mọi người tự trải_nghiệm nhé . 😍 : v",không spam,Không spam,neutral,Trung lập
74,"Ai quan tâm thì giảng viên quá tuyệt, liên quan đến cửa hàng đồ công nghệ. 😀 :v","Ai quan_tâm thì giảng_viên quá tuyệt , liên_quan đến cửa_hàng đồ công_nghệ . 😀 : v",không spam,Không spam,neutral,Trung lập
75,"Không biết mọi người sao chứ mình tính năng mới hỗ trợ chán, chắc sẽ không dùng lại đâu. 👍","Không biết mọi người sao chứ mình tính_năng mới hỗ_trợ chán , chắc sẽ không dùng lại đâu . 👍",không spam,Không spam,neutral,Trung lập
76,"Theo mình nội dung bài giảng quá đã, liên quan đến ứng dụng học từ vựng. ❤ :v","Theo mình nội_dung bài giảng quá đã , liên_quan đến ứng_dụng học từ vựng . ❤ : v",không spam,Không spam,positive,Tích cực
77,"Nếu bạn đang phân vân thì khóa học online tạm ổn, mọi người tự trải nghiệm nhé. :v","Nếu bạn đang phân_vân thì khóa học online tạm ổn , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,neutral,Trung lập
78,"Cá nhân mình thì page này mình chưa thử, mọi người tự trải nghiệm nhé. :v","Cá_nhân mình thì page này mình chưa thử , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,neutral,Trung lập
79,"Theo mình bài viết này ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé. 👎","Theo mình bài viết này ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé . 👎",không spam,Không spam,neutral,Trung lập
80,"Theo mình video này ok, mọi người tự trải nghiệm nhé. 🤔 :v","Theo mình video này ok , mọi người tự trải_nghiệm nhé . 🤔 : v",không spam,Không spam,positive,Tích cực
81,"Thật sự video này đáng tiền, liên quan đến sản phẩm chăm sóc da.","Thật_sự video này đáng tiền , liên_quan đến sản_phẩm chăm_sóc da .",không spam,Không spam,positive,Tích cực
82,"Ai quan tâm thì page này tuyệt vời, liên quan đến quán cà phê mới.","Ai quan_tâm thì page này tuyệt_vời , liên_quan đến quán cà_phê mới .",không spam,Không spam,positive,Tích cực
83,"Thật sự giảng viên xịn sò, liên quan đến ứng dụng học từ vựng. 😅 :v","Thật_sự giảng_viên xịn_sò , liên_quan đến ứng_dụng học từ vựng . 😅 : v",không spam,Không spam,negative,Tiêu cực
84,"Bán acc game giá rẻ, ai cần cmt số điện thoại 🥰","Bán acc game giá rẻ , ai cần cmt số điện_thoại 🥰",spam,Spam,neutral,Trung lập
85,"Thật sự page này phí tiền, chắc sẽ không dùng lại đâu. 😍 :v","Thật_sự page này phí tiền , chắc sẽ không dùng lại đâu . 😍 : v",không spam,Không spam,negative,Tiêu cực
86,"Đầu tư coin BTC lợi nhuận khủng, tham gia group này: http://tinyurl.com/abcd","Đầu_tư coin BTC lợi_nhuận khủng , tham_gia group này : http://tinyurl.com/abcd",spam,Spam,neutral,Trung lập
87,"Ai quan tâm thì video này đọc cho biết, mọi người tự trải nghiệm nhé.","Ai quan_tâm thì video này đọc cho biết , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
88,"Mình thấy app này rất hay, liên quan đến cửa hàng đồ công nghệ. 🥰 :v","Mình thấy app này rất hay , liên_quan đến cửa_hàng đồ công_nghệ . 🥰 : v",không spam,Không spam,positive,Tích cực
89,"Mình thấy giảng viên dịch vụ kém, chắc sẽ không dùng lại đâu. 😂","Mình thấy giảng_viên dịch_vụ kém , chắc sẽ không dùng lại đâu . 😂",không spam,Không spam,negative,Tiêu cực
90,"Đọc xong chỉ biết nói là giảng viên ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé.","Đọc xong chỉ biết nói là giảng_viên ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
91,"Không biết mọi người sao chứ mình app này đọc cho biết, mọi người tự trải nghiệm nhé. 😢","Không biết mọi người sao chứ mình app này đọc cho biết , mọi người tự trải_nghiệm nhé . 😢",không spam,Không spam,neutral,Trung lập
92,"Không biết mọi người sao chứ mình video này rất hay, liên quan đến kênh YouTube dạy lập trình.","Không biết mọi người sao chứ mình video này rất hay , liên_quan đến kênh YouTube_dạy lập_trình .",không spam,Không spam,positive,Tích cực
93,"Không biết mọi người sao chứ mình khóa học online rất hay, liên quan đến tool AI mới. :v","Không biết mọi người sao chứ mình khóa học online rất hay , liên_quan đến tool AI mới . : v",không spam,Không spam,positive,Tích cực
94,"Ai quan tâm thì video này không recommend, chắc sẽ không dùng lại đâu.","Ai quan_tâm thì video này không recommend , chắc sẽ không dùng lại đâu .",không spam,Không spam,neutral,Trung lập
95,"Đọc xong chỉ biết nói là video này quá tuyệt, liên quan đến ứng dụng học từ vựng.","Đọc xong chỉ biết nói là video này quá tuyệt , liên_quan đến ứng_dụng học từ vựng .",không spam,Không spam,positive,Tích cực
96,"Nói thật là update mới dịch vụ kém, chắc sẽ không dùng lại đâu. 👎 :v","Nói thật là update mới dịch_vụ kém , chắc sẽ không dùng lại đâu . 👎 : v",không spam,Không spam,negative,Tiêu cực
97,"Nếu bạn đang phân vân thì nội dung bài giảng không có gì đặc biệt, mọi người tự trải nghiệm nhé.","Nếu bạn đang phân_vân thì nội_dung bài giảng không có gì đặc_biệt , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
98,"Nói thật là bài viết này không ý kiến, mọi người tự trải nghiệm nhé.","Nói thật là bài viết này không ý_kiến , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
99,"Ai quan tâm thì fanpage này phí tiền, chắc sẽ không dùng lại đâu. ❤","Ai quan_tâm thì fanpage này phí tiền , chắc sẽ không dùng lại đâu . ❤",không spam,Không spam,neutral,Trung lập
100,"Ai cần tăng like, tăng follow thì ib mình, giá rẻ bất ngờ 👎","Ai cần tăng like , tăng follow thì ib mình , giá rẻ bất_ngờ 👎",spam,Spam,neutral,Trung lập
101,"Cá nhân mình thì tính năng mới quá chất, liên quan đến khóa học NLP. 🤔","Cá_nhân mình thì tính_năng mới quá_chất , liên_quan đến khóa học NLP. 🤔",không spam,Không spam,positive,Tích cực
102,"Ai quan tâm thì bài viết này chán thật, chắc sẽ không dùng lại đâu. 😢 :v","Ai quan_tâm thì bài viết này chán thật , chắc sẽ không dùng lại đâu . 😢 : v",không spam,Không spam,negative,Tiêu cực
103,"Đọc xong chỉ biết nói là giảng viên không đáng, chắc sẽ không dùng lại đâu.","Đọc xong chỉ biết nói là giảng_viên không đáng , chắc sẽ không dùng lại đâu .",không spam,Không spam,neutral,Trung lập
104,"Ai quan tâm thì update mới tạm ổn, mọi người tự trải nghiệm nhé.","Ai quan_tâm thì update mới tạm ổn , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
105,"Đọc xong chỉ biết nói là video này bình thường, mọi người tự trải nghiệm nhé.","Đọc xong chỉ biết nói là video này bình_thường , mọi người tự trải_nghiệm nhé .",không spam,Không spam,neutral,Trung lập
106,"Mình thấy page này đỉnh cao, liên quan đến page công nghệ. 😂","Mình thấy page này đỉnh_cao , liên_quan đến page công_nghệ . 😂",không spam,Không spam,positive,Tích cực
107,"Theo mình khóa học online đỉnh cao, liên quan đến kênh YouTube dạy lập trình.","Theo mình khóa học online đỉnh_cao , liên_quan đến kênh YouTube_dạy lập_trình .",không spam,Không spam,positive,Tích cực
108,"Ai quan tâm thì page này không như quảng cáo, chắc sẽ không dùng lại đâu. 👎","Ai quan_tâm thì page này không như quảng_cáo , chắc sẽ không dùng lại đâu . 👎",không spam,Không spam,neutral,Trung lập
109,"Nói thật là giảng viên hài lòng, liên quan đến kênh YouTube dạy lập trình.","Nói thật là giảng_viên hài_lòng , liên_quan đến kênh YouTube_dạy lập_trình .",không spam,Không spam,positive,Tích cực
110,"Thật sự app này không như quảng cáo, chắc sẽ không dùng lại đâu. 🥰 :v","Thật_sự app này không như quảng_cáo , chắc sẽ không dùng lại đâu . 🥰 : v",không spam,Không spam,negative,Tiêu cực
111,"Mình thấy khóa học online đỉnh cao, liên quan đến cửa hàng đồ công nghệ. 🥰","Mình thấy khóa học online đỉnh_cao , liên_quan đến cửa_hàng đồ công_nghệ . 🥰",không spam,Không spam,positive,Tích cực
112,"Cá nhân mình thì giảng viên không đáng, chắc sẽ không dùng lại đâu. :v","Cá_nhân mình thì giảng_viên không đáng , chắc sẽ không dùng lại đâu . : v",không spam,Không spam,negative,Tiêu cực
113,Share bài viết này vào 5 group để nhận quà miễn phí #khuyenmai #giveaway,Share bài viết này vào 5 group để nhận quà miễn_phí #_khuyenmai # giveaway,spam,Spam,neutral,Trung lập
114,"Tham gia khóa học kiếm tiền online chỉ với 300kk, chi tiết tại http://example.com/voucher #khuyenmai #giveaway","Tham_gia khóa học kiếm tiền online chỉ với 300 kk , chi_tiết tại http://example.com/voucher #_khuyenmai # giveaway",spam,Spam,neutral,Trung lập
115,"Nói thật là nội dung bài giảng dịch vụ kém, chắc sẽ không dùng lại đâu.","Nói thật là nội_dung bài giảng dịch_vụ kém , chắc sẽ không dùng lại đâu .",không spam,Không spam,neutral,Trung lập
116,"Đọc xong chỉ biết nói là update mới ok, mọi người tự trải nghiệm nhé. 👍 :v","Đọc xong chỉ biết nói là update mới ok , mọi người tự trải_nghiệm nhé . 👍 : v",không spam,Không spam,neutral,Trung lập
117,"Nói thật là khóa học online xem thử thôi, mọi người tự trải nghiệm nhé. :v","Nói thật là khóa học online xem thử thôi , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,neutral,Trung lập
118,"Tham gia khóa học kiếm tiền online chỉ với 300kk, chi tiết tại http://bit.ly/abcxyz 👎","Tham_gia khóa học kiếm tiền online chỉ với 300 kk , chi_tiết tại http://bit.ly/abcxyz 👎",spam,Spam,neutral,Trung lập
119,"Cá nhân mình thì bài viết này thất vọng, chắc sẽ không dùng lại đâu. 👎 :v","Cá_nhân mình thì bài viết này thất_vọng , chắc sẽ không dùng lại đâu . 👎 : v",không spam,Không spam,negative,Tiêu cực
120,"Cho thuê nick Netflix, Spotify siêu rẻ, liên hệ ngay","Cho thuê nick Netflix , Spotify siêu_rẻ , liên_hệ ngay",spam,Spam,positive,Tích cực
121,"Nói thật là bài viết này dịch vụ kém, chắc sẽ không dùng lại đâu. 👎","Nói thật là bài viết này dịch_vụ kém , chắc sẽ không dùng lại đâu . 👎",không spam,Không spam,negative,Tiêu cực
122,Share bài viết này vào 5 group để nhận quà miễn phí 😅,Share bài viết này vào 5 group để nhận quà miễn_phí 😅,spam,Spam,neutral,Trung lập
123,"Thật sự giảng viên rất hay, liên quan đến quán ăn vặt. 😀","Thật_sự giảng_viên rất hay , liên_quan đến quán ăn vặt . 😀",không spam,Không spam,positive,Tích cực
124,"Ai cần tăng like, tăng follow thì ib mình, giá rẻ bất ngờ #khuyenmai #giveaway","Ai cần tăng like , tăng follow thì ib mình , giá rẻ bất_ngờ #_khuyenmai # giveaway",spam,Spam,neutral,Trung lập
125,"Mình thấy page này mình chưa thử, mọi người tự trải nghiệm nhé. :v","Mình thấy page này mình chưa thử , mọi người tự trải_nghiệm nhé . : v",không spam,Không spam,positive,Tích cực
126,"Mình thấy fanpage này xịn sò, liên quan đến ứng dụng học từ vựng. 😀 :v","Mình thấy fanpage này xịn_sò , liên_quan đến ứng_dụng học từ vựng . 😀 : v",không spam,Không spam,positive,Tích cực
127,"Theo mình tính năng mới rất hữu ích, liên quan đến tool AI mới.","Theo mình tính_năng mới rất hữu_ích , liên_quan đến tool AI mới .",không spam,Không spam,positive,Tích cực
128,"Nếu bạn đang phân vân thì page này quá tệ, chắc sẽ không dùng lại đâu. :v","Nếu bạn đang phân_vân thì page này quá tệ , chắc sẽ không dùng lại đâu . : v",không spam,Không spam,neutral,Trung lập
